"University.Name","University.City","University.State","Admission.Rate","SAT.Average","SAT.Reading.Mid","SAT.Math.Mid","ACT.Cumulative.Average","Undergraduate.Enrollment","Average.Cost.per.Academic.Year","In.State.Tuition.and.Fees","Out.of.State.Tuition.and.Fees","Completion.Rate..4.year.institutions","Completion.Rate.17_18","Comp.Rate.17_18.BIN","Region","Size"
"Massachusetts College of Liberal Arts","North Adams","MA",72.27,977,495,480,21,1517,20552,8975,17920,0.52,0.54,"Medium","Northeast","Small"
"Northeastern University","Boston","MA",32.22,1420,700,720,32,13492,57981,43440,43440,0.82,0.87,"High","Northeast","Very Large"
"College of Our Lady of the Elms","Chicopee","MA",78.97,946,470,480,19,1336,41625,31188,31188,0.78,0.57,"Medium","Northeast","Small"
"Salem State University","Salem","MA",70.57,984,490,494,21,7180,20484,8646,14786,0.46,0.52,"Medium","Northeast","Large"
"Simmons University","Boston","MA",52.16,1170,590,575,26,1611,52348,36230,36230,0.67,0.73,"High","Northeast","Small"
"Springfield College","Springfield","MA",70.87,1025,510,530,20,2136,45887,33455,33455,0.69,0.74,"High","Northeast","Medium"
"University of Massachusetts-Dartmouth","North Dartmouth","MA",76.82,1025,505,520,22,7185,24104,11681,24619,0.47,0.48,"Medium","Northeast","Large"
"Suffolk University","Boston","MA",83.91,1049,515,525,24,5274,46152,32660,32660,0.55,0.6,"Medium","Northeast","Large"
"Tufts University","Medford","MA",17.24,1423,720,720,32,5143,61000,48643,48643,0.92,0.93,"High","Northeast","Large"
"Wellesley College","Wellesley","MA",30.11,1390,695,690,32,2172,59092,45078,45078,0.91,0.89,"High","Northeast","Medium"
"Wentworth Institute of Technology","Boston","MA",82.64,1116,535,580,25,4295,46112,30765,30765,0.64,0.67,"High","Northeast","Large"
"Western New England University","Springfield","MA",80.15,1077,520,550,24,2722,47447,33466,33466,0.59,0.59,"Medium","Northeast","Medium"
"Westfield State University","Westfield","MA",74.56,997,495,505,21,5429,20536,8682,14762,0.63,0.65,"High","Northeast","Large"
"Wheelock College","Boston","MA",87.52,963,490,475,20,867,46164,32830,32830,0.55,0.57,"Medium","Northeast","Very Small"
"Williams College","Williamstown","MA",19.32,1452,735,720,33,2019,61850,48310,48310,0.95,0.94,"High","Northeast","Medium"
"Worcester State University","Worcester","MA",61.3,997,490,505,22,5063,18252,8557,14637,0.53,0.24,"Low","Northeast","Large"
"Adrian College","Adrian","MI",61.89,1009,500,490,22,1570,43341,32660,32660,0.57,0.52,"Medium","North Central","Small"
"Albion College","Albion","MI",60.79,1125,550,580,25,1249,48073,37485,37485,0.72,0.57,"Medium","North Central","Small"
"Alma College","Alma","MI",71.98,1101,519,504,24,1362,44636,34220,34220,0.61,0.68,"High","North Central","Small"
"Andrews University","Berrien Springs","MI",36.88,1081,540,535,24,1629,35017,26256,26256,0.59,0.55,"Medium","North Central","Small"
"Calvin University","Grand Rapids","MI",73.14,1182,580,595,26,3825,40694,29635,29635,0.74,0.72,"High","North Central","Large"
"Central Michigan University","Mount Pleasant","MI",69.27,1050,519,532,23,20297,21828,11550,23670,0.56,0.58,"Medium","North Central","Very Large"
"University of Detroit Mercy","Detroit","MI",69.06,1110,534,587,24,2677,49617,37320,37320,0.54,0.62,"High","North Central","Medium"
"Eastern Michigan University","Ypsilanti","MI",68.87,1028,490,505,22,17723,19532,9663,25706,0.37,0.4,"Low","North Central","Very Large"
"Kettering University","Flint","MI",71.64,1223,585,625,27,1689,51277,36980,36980,0.57,0.61,"High","North Central","Small"
"Cornerstone University","Grand Rapids","MI",68.84,1051,536,522,23,2020,34889,25112,25112,0.45,0.53,"Medium","North Central","Medium"
"Grand Valley State University","Allendale","MI",80.43,1089,520,553,24,21561,21907,10752,15408,0.65,0.65,"High","North Central","Very Large"
"Hope College","Holland","MI",77.41,1185,595,590,26,3312,39856,29560,29560,0.8,0.8,"High","North Central","Large"
"Kalamazoo College","Kalamazoo","MI",69.65,1239,604,620,28,1431,50800,41161,41161,0.82,0.86,"High","North Central","Small"
"Lake Superior State University","Sault Ste Marie","MI",91.09,1028,465,505,22,2213,19524,10253,15317,0.46,0.44,"Medium","North Central","Medium"
"Lawrence Technological University","Southfield","MI",57.42,1127,540,595,25,2798,41064,30200,30200,0.44,0.54,"Medium","North Central","Medium"
"Madonna University","Livonia","MI",58.59,1049,510,515,23,2841,24763,17390,17390,0.5,0.69,"High","North Central","Medium"
"Rochester University","Rochester Hills","MI",40.59,972,552,476,21,976,26820,20486,20486,0.45,0.42,"Medium","North Central","Very Small"
"University of Michigan-Ann Arbor","Ann Arbor","MI",32.24,1380,670,710,31,28217,26143,13486,41906,0.91,0.92,"High","North Central","Very Large"
"Michigan State University","East Lansing","MI",66.09,1158,505,615,26,38395,24323,13200,34965,0.79,0.79,"High","North Central","Very Large"
"Michigan Technological University","Houghton","MI",75.5,1244,602,625,28,5576,25360,14040,29520,0.64,0.67,"High","North Central","Large"
"University of Michigan-Flint","Flint","MI",78.64,993,526,602,21,6565,19079,9694,18922,0.34,0.44,"Medium","North Central","Large"
"Northwood University","Midland","MI",69.47,1004,455,465,22,2808,34733,23132,23132,0.56,0.55,"Medium","North Central","Medium"
"Olivet College","Olivet","MI",61.43,917,465,450,21,945,33155,23800,23800,0.39,0.24,"Low","North Central","Very Small"
"Siena Heights University","Adrian","MI",74.24,1025,412,480,22,2254,33484,22740,22740,0.51,0.24,"Low","North Central","Medium"
"Spring Arbor University","Spring Arbor","MI",66.64,1035,525,568,22,2632,33787,24350,24350,0.54,0.59,"Medium","North Central","Medium"
"Augsburg University","Minneapolis","MN",68.02,1074,595,558,23,2532,44986,34431,34431,0.63,0.62,"High","North Central","Medium"
"Bethel University","Saint Paul","MN",95.43,1146,585,580,25,2936,43974,32990,32990,0.74,0.71,"High","North Central","Medium"
"Carleton College","Northfield","MN",22.77,1408,705,710,32,2042,60401,47736,47736,0.93,0.94,"High","North Central","Medium"
"Concordia College at Moorhead","Moorhead","MN",64.28,1166,617,640,26,2296,42829,34114,34114,0.72,0.7,"High","North Central","Medium"
"Hamline University","Saint Paul","MN",69.59,1101,540,530,24,2157,44883,36270,36270,0.65,0.67,"High","North Central","Medium"
"Macalester College","Saint Paul","MN",36.35,1354,685,683,30,2053,57478,47195,47195,0.9,0.87,"High","North Central","Medium"
"University of Minnesota-Twin Cities","Minneapolis","MN",45.35,1271,625,685,28,30135,24551,13560,20810,0.78,0.8,"High","North Central","Very Large"
"University of Minnesota-Crookston","Crookston","MN",71.96,1006,455,490,22,1876,22394,11468,11468,0.48,0.54,"Medium","North Central","Medium"
"Minneapolis College of Art and Design","Minneapolis","MN",64.41,1088,565,515,24,658,42990,34146,34146,0.64,0.59,"Medium","North Central","Very Small"
"University of Minnesota-Duluth","Duluth","MN",76.78,1110,545,575,24,9120,23153,12802,16467,0.59,0.59,"Medium","North Central","Very Large"
"University of Minnesota-Morris","Morris","MN",63.59,1148,605,580,25,1803,23135,12583,12583,0.67,0.59,"Medium","North Central","Medium"
"Minnesota State University Moorhead","Moorhead","MN",84.19,1049,483,525,23,5496,18680,7816,14714,0.42,0.46,"Medium","North Central","Large"
"North Central University","Minneapolis","MN",91.2,1062,500,480,23,1029,30203,20776,20776,0.47,0.4,"Low","North Central","Small"
"University of Northwestern-St Paul","Saint Paul","MN",69.54,1110,605,575,24,1945,39702,28726,28726,0.67,0.62,"High","North Central","Medium"
"Oak Hills Christian College","Bemidji","MN",66.67,964,500,390,21,124,26034,15759,15759,0.21,0.24,"Low","North Central","Very Small"
"College of Saint Benedict","Saint Joseph","MN",82.18,1179,573,548,26,2020,49920,39402,39402,0.81,0.82,"High","North Central","Medium"
"Saint Johns University","Collegeville","MN",78.76,1155,548,543,26,1789,48520,38704,38704,0.8,0.74,"High","North Central","Small"
"Saint Mary's University of Minnesota","Winona","MN",74.24,1067,517,523,23,1859,39736,30315,30315,0.65,0.58,"Medium","North Central","Medium"
"St Olaf College","Northfield","MN",51.28,1292,630,630,29,2990,51860,41700,41700,0.89,0.88,"High","North Central","Medium"
"Crown College","Saint Bonifacius","MN",28.4,1016,470,495,22,1032,34943,23180,23180,0.57,0.67,"High","North Central","Small"
"The College of Saint Scholastica","Duluth","MN",66.18,1106,565,560,24,2788,42355,32842,32842,0.61,0.67,"High","North Central","Medium"
"University of St Thomas","Saint Paul","MN",86.62,1204,605,585,27,6080,47616,36682,36682,0.72,0.77,"High","North Central","Large"
"St Catherine University","Saint Paul","MN",67.21,1032,548,547,22,3399,43101,36420,36420,0.59,0.53,"Medium","North Central","Large"
"Southwest Minnesota State University","Marshall","MN",66.94,990,473,453,21,2359,19028,8074,8074,0.43,0.24,"Low","North Central","Medium"
"Alcorn State University","Alcorn State","MS",78.44,872,438,453,18,3006,21116,6200,6200,0.4,0.33,"Low","South","Large"
"Delta State University","Cleveland","MS",86.96,969,465,485,21,2505,18887,6562,6562,0.32,0.4,"Low","South","Medium"
"Jackson State University","Jackson","MS",70.47,911,465,460,19,7160,19803,6602,16174,0.43,0.34,"Low","South","Large"
"Millsaps College","Jackson","MS",57.18,1178,575,575,26,762,46491,33982,33982,0.64,0.67,"High","South","Very Small"
"University of Mississippi","University","MS",81.22,1098,535,540,24,17799,22444,7096,19144,0.61,0.6,"Medium","South","Very Large"
"Mississippi University for Women","Columbus","MS",93.61,988,495,618,21,2316,16299,5640,15360,0.39,0.44,"Medium","South","Medium"
"Mississippi College","Clinton","MS",63.04,1120,540,540,25,2942,27468,15458,15458,0.54,0.59,"Medium","South","Medium"
"Mississippi State University","Mississippi State","MS",71.02,1126,560,570,25,15800,21581,7140,18478,0.6,0.24,"Low","South","Very Large"
"University of Southern Mississippi","Hattiesburg","MS",66.74,1029,505,508,22,11939,19493,6980,15550,0.48,0.24,"Low","South","Very Large"
"Tougaloo College","Tougaloo","MS",40.3,864,424,429,18,895,20503,10218,10218,0.53,0.5,"Medium","South","Very Small"
"William Carey University","Hattiesburg","MS",50.42,1080,495,530,24,2039,24941,11400,11400,0.58,0.57,"Medium","South","Medium"
"Avila University","Kansas City","MO",51.98,1038,440,480,23,1321,36178,25700,25700,0.49,0.42,"Medium","North Central","Small"
"Calvary University","Kansas City","MO",100,1014,538,513,22,225,17891,10600,10600,0.48,0.67,"High","North Central","Very Small"
"Central Methodist University-College of Liberal Arts and Sciences","Fayette","MO",60.53,1050,510,540,23,1175,32970,21830,21830,0.52,0.53,"Medium","North Central","Small"
"Culver-Stockton College","Canton","MO",57.72,986,470,490,21,931,34565,24050,24050,0.41,0.48,"Medium","North Central","Very Small"
"Evangel University","Springfield","MO",64.53,1055,505,500,23,1788,32183,20796,20796,0.48,0.48,"Medium","North Central","Small"
"Kansas City Art Institute","Kansas City","MO",59.97,1086,575,515,24,650,48454,35118,35118,0.53,0.54,"Medium","North Central","Very Small"
"Lindenwood University","Saint Charles","MO",52.88,1038,485,495,23,7986,30929,15580,15580,0.5,0.5,"Medium","North Central","Large"
"Maryville University of Saint Louis","Saint Louis","MO",72.05,1137,505,540,25,2736,39236,25884,25884,0.66,0.72,"High","North Central","Medium"
"Midwestern Baptist Theological Seminary","Kansas City","MO",76.36,970,527,484,20,346,19733,5760,5760,0.4,0.41,"Medium","North Central","Very Small"
"Missouri Baptist University","Saint Louis","MO",60.23,984,460,480,21,1706,32293,22760,22760,0.44,0.38,"Low","North Central","Small"
"University of Missouri-Columbia","Columbia","MO",77.67,1166,585,595,26,27276,22943,9433,24460,0.69,0.68,"High","North Central","Very Large"
"University of Missouri-Kansas City","Kansas City","MO",64.26,1129,590,595,25,8127,24436,7774,18222,0.52,0.48,"Medium","North Central","Large"
"Missouri University of Science and Technology","Rolla","MO",85.85,1283,605,650,29,6418,21798,8961,23771,0.63,0.64,"High","North Central","Large"
"Truman State University","Kirksville","MO",74.48,1226,623,617,27,5394,19368,7374,13438,0.71,0.75,"High","North Central","Large"
"Northwest Missouri State University","Maryville","MO",76.58,1051,525,550,23,5222,17376,6525,11526,0.5,0.5,"Medium","North Central","Large"
"College of the Ozarks","Point Lookout","MO",8.31,1074,590,590,23,1433,26900,18530,18530,0.63,0.72,"High","North Central","Small"
"Rockhurst University","Kansas City","MO",76.94,1164,575,568,26,1671,43750,32865,32865,0.69,0.75,"High","North Central","Small"
"Saint Louis University","Saint Louis","MO",61.08,1239,590,615,28,7822,52310,37966,37966,0.72,0.77,"High","North Central","Large"
"Southwest Baptist University","Bolivar","MO",61.85,1070,520,545,23,2477,29870,20840,20840,0.49,0.45,"Medium","North Central","Medium"
"Stephens College","Columbia","MO",53.6,1064,530,480,23,667,42776,28510,28510,0.49,0.61,"High","North Central","Very Small"
"Southeast Missouri State University","Cape Girardeau","MO",84.78,1050,526,527,23,9382,17405,7058,12450,0.51,0.24,"Low","North Central","Very Large"
"Missouri State University-Springfield","Springfield","MO",85.03,1090,545,535,24,16177,19251,7008,13668,0.55,0.55,"Medium","North Central","Very Large"
"Washington University in St Louis","Saint Louis","MO",17.13,1478,735,760,33,6913,63755,46467,46467,0.95,0.94,"High","North Central","Large"
"Westminster College","Fulton","MO",66.34,1114,508,514,25,943,34470,22560,22560,0.66,0.65,"High","North Central","Very Small"
"William Jewell College","Liberty","MO",62.83,1141,530,570,25,1043,43791,31620,31620,0.6,0.59,"Medium","North Central","Small"
"William Woods University","Fulton","MO",76.3,1042,499,500,23,990,34371,21260,21260,0.53,0.59,"Medium","North Central","Very Small"
"Carroll College","Helena","MT",57.53,1133,565,555,25,1410,40762,29280,29280,0.63,0.72,"High","West","Small"
"Montana Technological University","Butte","MT",90.75,1125,540,585,25,1868,16598,6494,19147,0.44,0.41,"Medium","West","Medium"
"Montana State University","Bozeman","MT",83.85,1128,570,565,25,13117,18886,6800,21391,0.5,0.54,"Medium","West","Very Large"
"The University of Montana","Missoula","MT",92.72,1075,545,540,23,10969,18059,6099,22372,0.48,0.46,"Medium","West","Very Large"
"Montana State University-Northern","Havre","MT",100,917,455,500,19,1125,16190,5480,17312,0.26,0.24,"Low","West","Small"
"Rocky Mountain College","Billings","MT",63.61,1031,495,495,23,903,34355,24530,24530,0.42,0.52,"Medium","West","Very Small"
"Concordia University-Nebraska","Seward","NE",76.61,1067,490,480,24,1232,34816,25950,25950,0.66,0.66,"High","North Central","Small"
"Creighton University","Omaha","NE",72.67,1200,575,608,27,3977,47780,35360,35360,0.78,0.81,"High","North Central","Large"
"Doane University","Crete","NE",79.35,1060,485,490,23,1064,38380,27200,27200,0.59,0.24,"Low","North Central","Small"
"Grace University","Omaha","NE",44.62,1064,438,468,24,387,28826,19290,19290,0.55,0.24,"Low","North Central","Very Small"
"Hastings College","Hastings","NE",69.65,1079,495,520,24,1135,36689,26280,26280,0.59,0.55,"Medium","North Central","Small"
"University of Nebraska at Kearney","Kearney","NE",84.11,1049,475,510,23,5081,19797,6586,12744,0.56,0.61,"High","North Central","Large"
"Nebraska Wesleyan University","Lincoln","NE",78.14,1124,540,555,25,1803,38668,28500,28500,0.69,0.65,"High","North Central","Medium"
"University of Nebraska-Lincoln","Lincoln","NE",69.89,1146,570,590,25,19979,21286,8170,22090,0.67,0.68,"High","North Central","Very Large"
"University of Nevada-Las Vegas","Las Vegas","NV",86.89,1000,495,500,22,23329,17781,6710,20620,0.39,0.42,"Medium","West","Very Large"
"University of Nevada-Reno","Reno","NV",83.88,1081,535,540,24,16330,20675,6610,20520,0.55,0.55,"Medium","West","Very Large"
"Sierra Nevada University","Incline Village","NV",60.97,1010,495,490,23,548,45859,29159,29159,0.46,0.44,"Medium","West","Very Small"
"Dartmouth College","Hanover","NH",11.5,1444,730,725,32,4184,63279,48108,48108,0.95,0.96,"High","Northeast","Large"
"Franklin Pierce University","Rindge","NH",84.3,949,470,480,20,1702,45898,31782,31782,0.46,0.24,"Low","Northeast","Small"
"University of New Hampshire-Main Campus","Durham","NH",80.02,1104,540,560,25,12591,29916,16552,29532,0.76,0.78,"High","Northeast","Very Large"
"Rivier University","Nashua","NH",62.56,962,480,485,20,1433,41377,28900,28900,0.51,0.24,"Low","Northeast","Small"
"Bloomfield College","Bloomfield","NJ",63.4,810,405,415,15,1933,39473,26750,26750,0.32,0.32,"Low","Northeast","Medium"
"Caldwell University","Caldwell","NJ",63.93,950,465,485,20,1596,39782,30050,30050,0.62,0.66,"High","Northeast","Small"
"Centenary University","Hackettstown","NJ",81.91,926,465,465,19,1612,45141,30942,30942,0.61,0.61,"High","Northeast","Small"
"Drew University","Madison","NJ",70.17,1118,560,550,25,1356,58700,45364,45364,0.62,0.24,"Low","Northeast","Small"
"Fairleigh Dickinson University-Metropolitan Campus","Teaneck","NJ",80.11,944,465,475,21,3870,44292,35880,35880,0.48,0.39,"Low","Northeast","Large"
"Felician University","Lodi","NJ",84.16,870,430,445,17,1629,42675,30605,30605,0.36,0.47,"Medium","Northeast","Small"
"Fairleigh Dickinson University-Florham Campus","Madison","NJ",80.75,1031,505,520,24,2359,52258,38236,38236,0.56,0.55,"Medium","Northeast","Medium"
"Kean University","Union","NJ",70.36,907,445,465,19,11938,23295,11244,17653,0.48,0.49,"Medium","Northeast","Very Large"
"Monmouth University","West Long Branch","NJ",74.19,1055,515,535,24,4584,44041,32310,32310,0.67,0.7,"High","Northeast","Large"
"New Jersey Institute of Technology","Newark","NJ",63.39,1168,550,615,26,6748,28225,15648,29288,0.59,0.64,"High","Northeast","Large"
"Princeton University","Princeton","NJ",7.44,1491,745,755,33,5258,57400,41820,41820,0.97,0.97,"High","Northeast","Large"
"Ramapo College of New Jersey","Mahwah","NJ",53.32,1082,535,555,23,5447,27561,13388,22038,0.72,0.74,"High","Northeast","Large"
"Rider University","Lawrenceville","NJ",70.91,1026,505,520,22,4188,50389,36830,36830,0.63,0.62,"High","Northeast","Large"
"Saint Peter's University","Jersey City","NJ",56.9,899,445,455,19,2409,43111,33232,33232,0.53,0.54,"Medium","Northeast","Medium"
"Seton Hall University","South Orange","NJ",75.54,1133,555,575,25,5609,48457,36926,36926,0.66,0.67,"High","Northeast","Large"
"Stevens Institute of Technology","Hoboken","NJ",43.78,1346,638,703,31,2842,59384,45366,45366,0.82,0.83,"High","Northeast","Medium"
"Stockton University","Galloway","NJ",64.75,1078,540,550,21,7676,26132,12568,19089,0.67,0.73,"High","Northeast","Large"
"The College of New Jersey","Ewing","NJ",48.97,1213,595,620,27,6407,29303,15024,25637,0.87,0.24,"Low","Northeast","Large"
"Eastern New Mexico University-Main Campus","Portales","NM",63.06,935,470,495,20,3731,15405,4858,10633,0.28,0.33,"Low","West","Large"
"New Mexico Institute of Mining and Technology","Socorro","NM",36.39,1193,595,620,26,1525,18762,6256,18184,0.45,0.47,"Medium","West","Small"
"University of New Mexico-Main Campus","Albuquerque","NM",45.38,1060,550,553,23,20261,17401,6846,20664,0.48,0.49,"Medium","West","Very Large"
"New Mexico State University-Main Campus","Las Cruces","NM",69.6,984,468,490,21,12171,16863,5950,19112,0.46,0.46,"Medium","West","Very Large"
"Adelphi University","Garden City","NY",72.42,1092,550,565,22,5036,43006,32340,32340,0.64,0.68,"High","Northeast","Large"
"Albany College of Pharmacy and Health Sciences","Albany","NY",67.4,1165,555,610,26,1076,42325,30131,30131,0.77,0.76,"High","Northeast","Small"
"Alfred University","Alfred","NY",69.44,1064,520,535,24,1842,39758,26026,26026,0.55,0.53,"Medium","Northeast","Medium"
"Barnard College","New York","NY",23.77,1343,680,665,30,2556,61171,46040,46040,0.89,0.93,"High","Northeast","Medium"
"Canisius College","Buffalo","NY",80.23,1085,530,545,24,2736,45339,34000,34000,0.68,0.69,"High","Northeast","Medium"
"Clarkson University","Potsdam","NY",62.14,1195,570,620,27,3130,57221,42530,42530,0.71,0.73,"High","Northeast","Large"
"Colgate University","Hamilton","NY",26.24,1369,675,700,31,2865,60050,48175,48175,0.92,0.91,"High","Northeast","Medium"
"Columbia University in the City of New York","New York","NY",6.95,1470,735,745,33,8100,64144,51008,51008,0.95,0.95,"High","Northeast","Large"
"Concordia College","Bronxville","NY",74.77,872,425,435,20,886,38419,28775,28775,0.48,0.46,"Medium","Northeast","Very Small"
"Cooper Union for the Advancement of Science and Art","New York","NY",15.06,1388,665,710,32,852,57429,41400,41400,0.84,0.85,"High","Northeast","Very Small"
"Cornell University","Ithaca","NY",14.19,1422,695,725,32,14195,61608,47286,47286,0.93,0.93,"High","Northeast","Very Large"
"D'Youville College","Buffalo","NY",68.79,1035,500,515,23,1796,33178,23562,23562,0.44,0.54,"Medium","Northeast","Small"
"Dominican College of Blauvelt","Orangeburg","NY",62.81,872,435,435,19,1483,37205,25702,25702,0.39,0.43,"Medium","Northeast","Small"
"Elmira College","Elmira","NY",82.21,1073,530,530,24,1318,50722,38150,38150,0.58,0.24,"Low","Northeast","Small"
"Fordham University","Bronx","NY",48.12,1254,620,630,28,8485,59105,45623,45623,0.8,0.79,"High","Northeast","Large"
"Hamilton College","Clinton","NY",26.35,1393,690,700,32,1890,59590,47820,47820,0.91,0.94,"High","Northeast","Medium"
"Hofstra University","Hempstead","NY",61.61,1147,565,575,26,6803,51214,38900,38900,0.6,0.63,"High","Northeast","Large"
"Houghton College","Houghton","NY",93.81,1121,565,555,25,1010,39545,28556,28556,0.76,0.73,"High","Northeast","Small"
"Iona College","New Rochelle","NY",86.7,1022,505,510,23,3052,46329,34030,34030,0.58,0.64,"High","Northeast","Large"
"Jewish Theological Seminary of America","New York","NY",61.86,1330,675,675,29,156,58278,19380,19380,0.78,0.8,"High","Northeast","Very Small"
"LIM College","New York","NY",74.21,914,470,450,19,1548,41784,24225,24225,0.51,0.47,"Medium","Northeast","Small"
"Le Moyne College","Syracuse","NY",65.95,1071,520,535,24,2728,42943,31340,31340,0.72,0.74,"High","Northeast","Medium"
"Long Island University","Brookville","NY",83.02,950,470,475,21,3774,46535,34852,34852,0.41,0.47,"Medium","Northeast","Large"
"Manhattan College","Riverdale","NY",66.54,1097,535,555,25,3471,48454,37188,37188,0.75,0.75,"High","Northeast","Large"
"Marymount Manhattan College","New York","NY",73.5,1065,545,510,24,1831,47464,27636,27636,0.44,0.49,"Medium","Northeast","Medium"
"Molloy College","Rockville Centre","NY",75.4,1072,525,535,24,3293,38282,26850,26850,0.7,0.72,"High","Northeast","Large"
"Mount Saint Mary College","Newburgh","NY",88.62,1011,495,510,22,2096,39720,27312,27312,0.59,0.54,"Medium","Northeast","Medium"
"College of Mount Saint Vincent","Bronx","NY",95.21,931,465,460,21,1671,40018,31290,31290,0.57,0.54,"Medium","Northeast","Small"
"The College of New Rochelle","New Rochelle","NY",38.53,958,480,475,21,3075,44483,32300,32300,0.29,0.33,"Low","Northeast","Large"
"The New School","New York","NY",65.9,1117,560,555,25,6695,57945,41870,41870,0.6,0.67,"High","Northeast","Large"
"New York University","New York","NY",35.45,1344,660,685,30,24539,61958,46170,46170,0.83,0.84,"High","Northeast","Very Large"
"Niagara University","Niagara University","NY",65.86,1040,510,525,23,3130,40164,29060,29060,0.64,0.68,"High","Northeast","Large"
"New York Institute of Technology","Old Westbury","NY",64.03,1069,515,550,24,4160,41830,32180,32180,0.45,0.5,"Medium","Northeast","Large"
"Nyack College","New York","NY",99.36,909,450,435,23,1695,35426,23800,23800,0.42,0.45,"Medium","Northeast","Small"
"Pace University","New York","NY",84.99,1054,520,530,23,8163,53010,39697,39697,0.55,0.54,"Medium","Northeast","Large"
"Davis College","Johnson City","NY",47.79,954,480,485,20,252,20802,12640,12640,0.33,0.24,"Low","Northeast","Very Small"
"Pratt Institute-Main","Brooklyn","NY",52.99,1141,560,570,26,3232,57783,44804,44804,0.64,0.66,"High","Northeast","Large"
"Rensselaer Polytechnic Institute","Troy","NY",37.5,1372,670,725,30,5557,61820,47908,47908,0.82,0.83,"High","Northeast","Large"
"Roberts Wesleyan College","Rochester","NY",68.75,1059,520,535,23,1335,39746,28068,28068,0.63,0.6,"Medium","Northeast","Small"
"Rochester Institute of Technology","Rochester","NY",57.47,1240,590,625,29,12635,47291,35768,35768,0.63,0.67,"High","Northeast","Very Large"
"St Bonaventure University","Saint Bonaventure","NY",70.43,1066,525,525,24,1735,42234,30466,30466,0.68,0.69,"High","Northeast","Small"
"St. Thomas Aquinas College","Sparkill","NY",80.82,958,466,494,20,1206,37860,27630,27630,0.57,0.54,"Medium","Northeast","Small"
"Siena College","Loudonville","NY",65.86,1127,550,570,25,3085,47265,32293,32293,0.8,0.24,"Low","Northeast","Large"
"Skidmore College","Saratoga Springs","NY",37.34,1241,615,625,28,2612,60900,47464,47464,0.87,0.87,"High","Northeast","Medium"
"St. Joseph's College-New York","Brooklyn","NY",70.73,1031,510,515,23,3985,27542,22830,22830,0.68,0.71,"High","Northeast","Large"
"Saint John Fisher College","Rochester","NY",67.91,1091,515,550,25,2834,40209,29550,29550,0.72,0.74,"High","Northeast","Medium"
"St. John's University-New York","Queens","NY",62.52,1107,540,560,25,10878,51420,38680,38680,0.59,0.58,"Medium","Northeast","Very Large"
"SUNY College of Agriculture and Technology at Cobleskill","Cobleskill","NY",73.34,877,435,435,19,2512,21571,7609,16759,0.36,0.44,"Medium","Northeast","Medium"
"Farmingdale State College","Farmingdale","NY",46.65,982,480,500,21,7768,14257,7483,17133,0.45,0.52,"Medium","Northeast","Large"
"SUNY at Albany","Albany","NY",55.84,1098,535,560,24,12659,21968,8302,19942,0.66,0.65,"High","Northeast","Very Large"
"Binghamton University","Vestal","NY",44.06,1287,630,660,29,13372,22688,8620,20260,0.81,0.82,"High","Northeast","Very Large"
"University at Buffalo","Buffalo","NY",57.81,1165,550,600,27,19488,21996,8870,22290,0.72,0.75,"High","Northeast","Very Large"
"Stony Brook University","Stony Brook","NY",41.34,1254,590,660,28,16170,21358,8430,21850,0.69,0.72,"High","Northeast","Very Large"
"SUNY College of Environmental Science and Forestry","Syracuse","NY",51.13,1193,585,600,27,1718,23671,7398,17048,0.68,0.78,"High","Northeast","Small"
"SUNY Polytechnic Institute","Utica","NY",56.1,1099,535,555,25,1890,20924,7420,17070,0.43,0.52,"Medium","Northeast","Medium"
"SUNY Brockport","Brockport","NY",48.95,1056,520,530,23,6951,20224,7562,17212,0.68,0.66,"High","Northeast","Large"
"SUNY Buffalo State","Buffalo","NY",61.55,939,460,455,22,9185,18129,7347,16997,0.45,0.24,"Low","Northeast","Very Large"
"SUNY at Fredonia","Fredonia","NY",53.22,1056,520,520,24,4900,21269,7741,17391,0.67,0.63,"High","Northeast","Large"
"SUNY College at Geneseo","Geneseo","NY",59.13,1221,605,615,27,5497,21589,7774,17424,0.78,0.77,"High","Northeast","Large"
"State University of New York at New Paltz","New Paltz","NY",41.93,1122,555,560,25,6464,20939,7418,17068,0.74,0.72,"High","Northeast","Large"
"SUNY Oneonta","Oneonta","NY",49.88,1086,535,550,24,5803,21555,7568,17218,0.73,0.71,"High","Northeast","Large"
"SUNY College at Oswego","Oswego","NY",48.37,1106,550,555,24,7102,21673,7581,17231,0.63,0.66,"High","Northeast","Large"
"SUNY at Purchase College","Purchase","NY",40.82,1095,560,540,22,3925,23719,7933,17583,0.67,0.67,"High","Northeast","Large"
"SUNY College at Old Westbury","Old Westbury","NY",62.35,995,490,505,22,4173,15734,7323,16953,0.37,0.48,"Medium","Northeast","Large"
"SUNY College at Plattsburgh","Plattsburgh","NY",47.86,1031,510,515,23,5430,20791,7517,17167,0.61,0.63,"High","Northeast","Large"
"SUNY Maritime College","Throggs Neck","NY",52.65,1106,535,570,24,1624,22429,7446,17096,0.47,0.63,"High","Northeast","Small"
"Syracuse University","Syracuse","NY",53.23,1184,570,605,27,14768,57450,41886,41886,0.8,0.83,"High","Northeast","Very Large"
"Vassar College","Poughkeepsie","NY",23.54,1403,710,695,32,2389,61320,49570,49570,0.92,0.91,"High","Northeast","Medium"
"School of Visual Arts","New York","NY",76.77,1029,515,520,21,3577,50407,33560,33560,0.66,0.64,"High","Northeast","Large"
