"University.Name","University.City","University.State","Admission.Rate","SAT.Average","SAT.Reading.Mid","SAT.Math.Mid","ACT.Cumulative.Average","Undergraduate.Enrollment","Average.Cost.per.Academic.Year","In.State.Tuition.and.Fees","Out.of.State.Tuition.and.Fees","Completion.Rate..4.year.institutions","Completion.Rate.17_18","Comp.Rate.17_18.BIN","Region","Size"
"Georgetown University","Washington","DC",17.35,1414,710,710,32,7211,62179,46744,46744,0.95,0.95,"High","South","Large"
"Howard University","Washington","DC",48.41,1105,555,550,24,6961,41643,23970,23970,0.6,0.63,"High","South","Large"
"The Baptist College of Florida","Graceville","FL",55.56,962,545,465,20,454,16788,9700,9700,0.47,0.47,"Medium","South","Very Small"
"Barry University","Miami","FL",46.11,938,470,462,20,3913,43885,28160,28160,0.36,0.35,"Low","South","Large"
"Bethune-Cookman University","Daytona Beach","FL",63.71,803,405,395,17,3897,27130,14410,14410,0.5,0.24,"Low","South","Large"
"Lynn University","Boca Raton","FL",74.87,980,490,483,21,1911,49535,35050,35050,0.4,0.24,"Low","South","Medium"
"Johnson University Florida","Kissimmee","FL",35.33,940,480,470,20,220,20568,14270,14270,0.35,0.28,"Low","South","Very Small"
"University of Central Florida","Orlando","FL",49.61,1185,590,595,26,52280,19752,6368,22467,0.7,0.7,"High","South","Very Large"
"Clearwater Christian College","Clearwater","FL",61.92,974,495,485,21,409,28527,17865,17865,0.5,0.24,"Low","South","Very Small"
"Eckerd College","Saint Petersburg","FL",72.74,1153,570,555,26,2062,51708,38668,38668,0.66,0.7,"High","South","Medium"
"Edward Waters College","Jacksonville","FL",52.95,825,420,405,17,927,23235,12525,12525,0.2,0.32,"Low","South","Very Small"
"Florida Agricultural and Mechanical University","Tallahassee","FL",48.95,948,477,465,20,7995,19395,5785,17725,0.4,0.48,"Medium","South","Large"
"Florida Atlantic University","Boca Raton","FL",66.03,1058,525,525,23,24228,19310,4831,17276,0.46,0.51,"Medium","South","Very Large"
"Flagler College","Saint Augustine","FL",47.88,1058,535,515,23,2767,29138,16180,16180,0.58,0.55,"Medium","South","Medium"
"AdventHealth University","Orlando","FL",100,928,473,453,20,1870,21994,12430,12430,0.35,0.19,"Low","South","Medium"
"Florida Institute of Technology","Melbourne","FL",61.57,1176,560,595,27,3348,51312,37990,37990,0.55,0.6,"Medium","South","Large"
"Florida International University","Miami","FL",52.78,1089,545,535,24,39102,18784,6497,18895,0.54,0.57,"Medium","South","Very Large"
"Florida Southern College","Lakeland","FL",44.81,1147,570,560,26,2352,40347,29990,29990,0.65,0.63,"High","South","Medium"
"Florida State University","Tallahassee","FL",55.39,1228,605,600,28,32432,21408,6507,21673,0.79,0.8,"High","South","Very Large"
"University of Florida","Gainesville","FL",45.61,1273,625,640,29,31879,20085,6313,28591,0.88,0.88,"High","South","Very Large"
"University of Miami","Coral Gables","FL",38.18,1330,645,675,30,10828,59850,44350,44350,0.81,0.84,"High","South","Very Large"
"University of North Florida","Jacksonville","FL",60.57,1133,585,570,24,13884,20102,6385,20789,0.55,0.57,"Medium","South","Very Large"
"Northwood University-Florida","West Palm Beach","FL",39.79,919,450,475,19,669,35049,23132,23132,0.28,0.24,"Low","South","Very Small"
"Nova Southeastern University","Fort Lauderdale","FL",48.81,1143,560,565,26,4582,42261,26700,26700,0.46,0.52,"Medium","South","Large"
