"Color","University.Name","Completion.Rate..4.year.institutions","Undergraduate.Enrollment","Year"
"Normal","Wartburg College",71,1614,"2014_15"
"Normal","William Penn University",35,1531,"2014_15"
"Normal","Baker University",58,1649,"2014_15"
"Normal","Benedictine College",60,1836,"2014_15"
"Normal","Bethany College",37,637,"2014_15"
"Normal","Bethel College-North Newton",58,483,"2014_15"
"Normal","Central Christian College of Kansas",39,985,"2014_15"
"Normal","Emporia State University",39,3777,"2014_15"
"Normal","Fort Hays State University",43,11298,"2014_15"
"Normal","Barclay College",47,228,"2014_15"
"Normal","Friends University",34,1339,"2014_15"
"Normal","University of Kansas",60,18802,"2014_15"
"Normal","Newman University",48,1182,"2014_15"
"Normal","Kansas State University",59,19727,"2014_15"
"Normal","Kansas Wesleyan University",33,643,"2014_15"
"Normal","Manhattan Christian College",45,289,"2014_15"
"Normal","McPherson College",48,619,"2014_15"
"Normal","MidAmerica Nazarene University",50,1322,"2014_15"
"Normal","Ottawa University-Ottawa",31,587,"2014_15"
"Normal","Pittsburg State University",50,5842,"2014_15"
"Normal","University of Saint Mary",35,819,"2014_15"
"Normal","Southwestern College",54,1288,"2014_15"
"Normal","Sterling College",39,701,"2014_15"
"Normal","Tabor College",48,708,"2014_15"
"Normal","Washburn University",34,5031,"2014_15"
"Normal","Wichita State University",44,11289,"2014_15"
"Normal","Alice Lloyd College",51,657,"2014_15"
"Normal","Asbury University",68,1499,"2014_15"
"Normal","Bellarmine University",68,2499,"2014_15"
"Normal","Berea College",62,1577,"2014_15"
"Normal","Brescia University",26,1003,"2014_15"
"Normal","Campbellsville University",39,2119,"2014_15"
"Normal","Centre College",82,1379,"2014_15"
"Normal","Clear Creek Baptist Bible College",62,140,"2014_15"
"Normal","University of the Cumberlands",36,1844,"2014_15"
"Normal","Eastern Kentucky University",42,13323,"2014_15"
"Normal","Georgetown College",55,972,"2014_15"
"Normal","Kentucky Mountain Bible College",53,67,"2014_15"
"Normal","Kentucky State University",20,1627,"2014_15"
"Normal","Kentucky Wesleyan College",41,691,"2014_15"
"Normal","University of Kentucky",61,21725,"2014_15"
"Normal","Kentucky Christian University",34,547,"2014_15"
"Normal","Lindsey Wilson College",35,2092,"2014_15"
"Normal","University of Louisville",54,15038,"2014_15"
"Normal","Midway University",43,1038,"2014_15"
"Normal","Morehead State University",43,7212,"2014_15"
"Normal","Murray State University",52,8126,"2014_15"
"Normal","Northern Kentucky University",36,11654,"2014_15"
"Normal","University of Pikeville",40,1329,"2014_15"
"Normal","Saint Catharine College",31,592,"2014_15"
"Normal","The Southern Baptist Theological Seminary",43,685,"2014_15"
"Normal","Spalding University",38,1227,"2014_15"
"Normal","Thomas More University",46,1243,"2014_15"
"Normal","Transylvania University",70,1014,"2014_15"
"Normal","Union College",32,833,"2014_15"
"Normal","Western Kentucky University",44,15388,"2014_15"
"Normal","Centenary College of Louisiana",52,548,"2014_15"
"Normal","Dillard University",36,1200,"2014_15"
"Normal","Grambling State University",30,3520,"2014_15"
"Normal","Louisiana State University-Alexandria",21,2244,"2014_15"
"Normal","Louisiana State University and Agricultural & Mechanical College",67,24452,"2014_15"
"Normal","Louisiana State University-Shreveport",31,2640,"2014_15"
"Normal","Louisiana College",47,957,"2014_15"
"Normal","Louisiana Tech University",52,7272,"2014_15"
