"Color","University.Name","Admission.Rate","SAT.Average","Year"
"Normal","Saint Ambrose University",96.07,1050,"2014_15"
"Normal","Simpson College",85.45,1125,"2014_15"
"Normal","Upper Iowa University",69.94,950,"2014_15"
"Normal","Waldorf University",68.85,913,"2014_15"
"Normal","Wartburg College",78.83,1100,"2014_15"
"Normal","Baker University",69.53,1059,"2014_15"
"Normal","Benedictine College",97.78,1120,"2014_15"
"Normal","Bethany College",97.45,969,"2014_15"
"Normal","Bethel College-North Newton",49.1,1000,"2014_15"
"Normal","Central Christian College of Kansas",49.63,966,"2014_15"
"Normal","Emporia State University",76.49,1009,"2014_15"
"Normal","Friends University",61.38,1029,"2014_15"
"Normal","University of Kansas",91.42,1145,"2014_15"
"Normal","Newman University",52.81,1076,"2014_15"
"Normal","Kansas Wesleyan University",61.47,1059,"2014_15"
"Normal","Manhattan Christian College",59.09,1030,"2014_15"
"Normal","McPherson College",99.28,1005,"2014_15"
"Normal","MidAmerica Nazarene University",68.99,1010,"2014_15"
"Normal","Pittsburg State University",79.19,1010,"2014_15"
"Normal","University of Saint Mary",47.5,1002,"2014_15"
"Normal","Southwestern College",87.93,1007,"2014_15"
"Normal","Sterling College",44.37,978,"2014_15"
"Normal","Tabor College",85.68,1037,"2014_15"
"Normal","Alice Lloyd College",36.17,1008,"2014_15"
"Normal","Asbury University",68.7,1135,"2014_15"
"Normal","Bellarmine University",83.4,1120,"2014_15"
"Normal","Berea College",33.66,1125,"2014_15"
"Normal","Brescia University",49.27,1039,"2014_15"
"Normal","Campbellsville University",72.72,964,"2014_15"
"Normal","Centre College",71.57,1263,"2014_15"
"Normal","University of the Cumberlands",66.28,1038,"2014_15"
"Normal","Eastern Kentucky University",73.87,1008,"2014_15"
"Normal","Georgetown College",88.75,1102,"2014_15"
"Normal","Kentucky Mountain Bible College",54,1010,"2014_15"
"Normal","Kentucky State University",47.69,883,"2014_15"
"Normal","Kentucky Wesleyan College",60.72,1021,"2014_15"
"Normal","University of Kentucky",72.21,1142,"2014_15"
"Normal","Kentucky Christian University",47.74,966,"2014_15"
"Normal","University of Louisville",73.86,1144,"2014_15"
"Normal","Morehead State University",84.43,1029,"2014_15"
"Normal","Murray State University",79.96,1064,"2014_15"
"Normal","Northern Kentucky University",90.72,1046,"2014_15"
"Normal","University of Pikeville",100,966,"2014_15"
"Normal","Spalding University",45.71,967,"2014_15"
"Normal","Thomas More University",93.28,982,"2014_15"
"Normal","Transylvania University",82.62,1230,"2014_15"
"Normal","Union College",75.23,970,"2014_15"
"Normal","Western Kentucky University",93.32,1047,"2014_15"
"Normal","Centenary College of Louisiana",65.67,1109,"2014_15"
"Normal","Dillard University",40.59,886,"2014_15"
"Normal","Grambling State University",43.95,868,"2014_15"
"Normal","Louisiana State University-Alexandria",54.55,987,"2014_15"
"Normal","Louisiana State University and Agricultural & Mechanical College",76.63,1161,"2014_15"
"Normal","Louisiana State University-Shreveport",76.67,1050,"2014_15"
"Normal","Louisiana College",61.06,990,"2014_15"
"Normal","Louisiana Tech University",65.03,1104,"2014_15"
"Normal","Loyola University New Orleans",90.25,1135,"2014_15"
"Normal","McNeese State University",75.27,1030,"2014_15"
"Normal","University of New Orleans",43.57,1082,"2014_15"
"Normal","Nicholls State University",88.37,1031,"2014_15"
"Normal","University of Louisiana at Monroe",77.22,1030,"2014_15"
"Normal","Northwestern State University of Louisiana",72.98,1027,"2014_15"
"Normal","Southeastern Louisiana University",83.73,1030,"2014_15"
"Normal","Southern University and A & M College",53.65,910,"2014_15"
"Normal","Southern University at New Orleans",20.7,806,"2014_15"
"Normal","University of Louisiana at Lafayette",55.8,1070,"2014_15"
"Normal","Tulane University of Louisiana",27.95,1342,"2014_15"
"Normal","Xavier University of Louisiana",65.99,1039,"2014_15"
"Normal","Colby College",28.05,1333,"2014_15"
"Normal","Husson University",71.95,951,"2014_15"
"Normal","University of Maine at Fort Kent",74.61,899,"2014_15"
"Normal","University of Maine",82.57,1078,"2014_15"
"Normal","Maine Maritime Academy",78.63,1024,"2014_15"
"Normal","University of New England",85.68,1073,"2014_15"
"Normal","Saint Joseph's College of Maine",78.53,965,"2014_15"
"Normal","University of Southern Maine",83.95,998,"2014_15"
"Normal","University of Baltimore",62.04,920,"2014_15"
"Normal","Bowie State University",55.06,867,"2014_15"
"Normal","Capitol Technology University",70.5,1075,"2014_15"
"Normal","Washington Adventist University",44.92,854,"2014_15"
"Normal","Coppin State University",43.12,880,"2014_15"
"Normal","Frostburg State University",58.51,967,"2014_15"
"Normal","Johns Hopkins University",16.08,1439,"2014_15"
"Normal","University of Maryland-Baltimore County",59.61,1213,"2014_15"
"Normal","University of Maryland-College Park",47.93,1315,"2014_15"
"Normal","Maryland Institute College of Art",54.16,1165,"2014_15"
"Normal","University of Maryland Eastern Shore",61.27,842,"2014_15"
"Normal","Morgan State University",65.25,874,"2014_15"
"Normal","Mount St. Mary's University",66.87,1048,"2014_15"
"Normal","Notre Dame of Maryland University",49.46,1048,"2014_15"
"Normal","St. Mary's College of Maryland",78.87,1188,"2014_15"
"Normal","St. John's College",86.96,1323,"2014_15"
"Normal","Towson University",59.21,1082,"2014_15"
"Normal","United States Naval Academy",7.94,1285,"2014_15"
"Normal","Stevenson University",62.31,990,"2014_15"
"Normal","McDaniel College",76.13,1094,"2014_15"
"Normal","American International College",67.57,887,"2014_15"
"Normal","Amherst College",13.84,1439,"2014_15"
"Normal","Babson College",26.31,1272,"2014_15"
"Normal","Boston Baptist College",73.91,875,"2014_15"
"Normal","Bay Path University",63.05,951,"2014_15"
"Normal","Becker College",62.47,1015,"2014_15"
"Normal","Bentley University",46.11,1247,"2014_15"
"Normal","Boston College",33.91,1380,"2014_15"
"Normal","Boston University",34.51,1300,"2014_15"
"Normal","Brandeis University",35.22,1369,"2014_15"
"Normal","Bridgewater State University",79.31,991,"2014_15"
"Normal","Curry College",86.88,948,"2014_15"
"Normal","Eastern Nazarene College",52.87,918,"2014_15"
"Normal","Emerson College",49.18,1244,"2014_15"
"Normal","Emmanuel College",69.3,1093,"2014_15"
"Normal","Fitchburg State University",72.31,1004,"2014_15"
"Normal","Framingham State University",62.26,1011,"2014_15"
"Normal","Gordon College",88.37,1161,"2014_15"
"Normal","Harvard University",5.96,1501,"2014_15"
"Normal","Lasell University",76.32,974,"2014_15"
"Normal","Lesley University",71.49,1086,"2014_15"
"Normal","University of Massachusetts-Lowell",62.01,1145,"2014_15"
"Normal","University of Massachusetts-Amherst",61.39,1217,"2014_15"
"Normal","University of Massachusetts-Boston",70.77,1050,"2014_15"
"Normal","MCPHS University",84.01,1074,"2014_15"
"Normal","Massachusetts College of Art and Design",72.94,1077,"2014_15"
"Normal","Massachusetts Institute of Technology",7.88,1500,"2014_15"
"Normal","Massachusetts Maritime Academy",61.6,1105,"2014_15"
"Normal","Mount Ida College",68.49,886,"2014_15"
"Normal","Massachusetts College of Liberal Arts",72.27,977,"2014_15"
"Normal","Northeastern University",32.22,1420,"2014_15"
"Normal","College of Our Lady of the Elms",78.97,946,"2014_15"
"Normal","Pine Manor College",67.84,780,"2014_15"
"Normal","Salem State University",70.57,984,"2014_15"
"Normal","Simmons University",52.16,1170,"2014_15"
"Normal","Springfield College",70.87,1025,"2014_15"
"Normal","University of Massachusetts-Dartmouth",76.82,1025,"2014_15"
"Normal","Suffolk University",83.91,1049,"2014_15"
"Normal","Tufts University",17.24,1423,"2014_15"
"Normal","Wellesley College",30.11,1390,"2014_15"
"Normal","Wentworth Institute of Technology",82.64,1116,"2014_15"
"Normal","Western New England University",80.15,1077,"2014_15"
"Normal","Westfield State University",74.56,997,"2014_15"
"Normal","Wheelock College",87.52,963,"2014_15"
"Normal","Williams College",19.32,1452,"2014_15"
"Normal","Worcester State University",61.3,997,"2014_15"
"Normal","Adrian College",61.89,1009,"2014_15"
"Normal","Albion College",60.79,1125,"2014_15"
"Normal","Alma College",71.98,1101,"2014_15"
"Normal","Andrews University",36.88,1081,"2014_15"
"Normal","Aquinas College",72.01,1090,"2014_15"
"Normal","Calvin University",73.14,1182,"2014_15"
"Normal","Central Michigan University",69.27,1050,"2014_15"
"Normal","Cleary University",79.29,990,"2014_15"
"Normal","Concordia University-Ann Arbor",75.88,1030,"2014_15"
"Normal","College for Creative Studies",45.61,1010,"2014_15"
"Normal","University of Detroit Mercy",69.06,1110,"2014_15"
"Normal","Eastern Michigan University",68.87,1028,"2014_15"
"Normal","Ferris State University",78.42,1010,"2014_15"
"Normal","Kettering University",71.64,1223,"2014_15"
"Normal","Cornerstone University",68.84,1051,"2014_15"
"Normal","Grand Valley State University",80.43,1089,"2014_15"
"Normal","Hope College",77.41,1185,"2014_15"
"Normal","Kalamazoo College",69.65,1239,"2014_15"
"Normal","Lake Superior State University",91.09,1028,"2014_15"
"Normal","Lawrence Technological University",57.42,1127,"2014_15"
"Normal","Madonna University",58.59,1049,"2014_15"
"Normal","Marygrove College",48.42,800,"2014_15"
"Normal","Rochester University",40.59,972,"2014_15"
"Normal","University of Michigan-Ann Arbor",32.24,1380,"2014_15"
"Normal","Michigan State University",66.09,1158,"2014_15"
"Normal","Michigan Technological University",75.5,1244,"2014_15"
"Normal","University of Michigan-Dearborn",62.67,1105,"2014_15"
"Normal","University of Michigan-Flint",78.64,993,"2014_15"
"Normal","Northern Michigan University",72.09,1010,"2014_15"
"Normal","Northwood University",69.47,1004,"2014_15"
"Normal","Oakland University",67,1070,"2014_15"
"Normal","Olivet College",61.43,917,"2014_15"
"Normal","Kuyper College",70.65,1030,"2014_15"
