"Year","University.Name","University.City","University.State","Admission.Rate","SAT.Average","SAT.Reading.Mid","SAT.Math.Mid","ACT.Cumulative.Average","Undergraduate.Enrollment","Average.Cost.per.Academic.Year","In.State.Tuition.and.Fees","Out.of.State.Tuition.and.Fees","Completion.Rate..4.year.institutions","Color"
"2014_15","Life Pacific University","San Dimas","CA",66.33,903,470,441,19,479,23926,12860,12860,0.47,"Normal"
"2014_15","Argosy University-The Art Institute of California-San Diego","San Diego","CA",NA,NA,NA,NA,NA,1634,33175,18748,18748,0.49,"Normal"
"2014_15","University of La Verne","La Verne","CA",46.56,1014,505,510,22,5137,47935,36744,36744,0.59,"Normal"
"2014_15","Laguna College of Art and Design","Laguna Beach","CA",58.47,NA,NA,NA,NA,543,42689,27300,27300,0.45,"Normal"
"2014_15","Lincoln University","Oakland","CA",NA,NA,NA,NA,NA,119,20725,10105,10105,0.56,"Normal"
"2014_15","Southern California Seminary","El Cajon","CA",NA,NA,NA,NA,NA,62,39574,14244,14244,1,"Normal"
"2014_15","La Sierra University","Riverside","CA",40.64,934,460,475,20,2054,40702,29895,29895,0.5,"Normal"
"2014_15","Loma Linda University","Loma Linda","CA",NA,NA,NA,NA,NA,1039,NA,NA,NA,NA,"Normal"
"2014_15","The Master's University and Seminary","Santa Clarita","CA",75.88,1103,550,540,25,1182,40755,29860,29860,0.62,"Normal"
"2014_15","Argosy University-The Art Institute of California-San Francisco","San Francisco","CA",NA,NA,NA,NA,NA,1052,33324,18748,18748,0.37,"Normal"
"2014_15","Loyola Marymount University","Los Angeles","CA",52.71,1218,590,610,28,6064,57016,41597,41597,0.78,"Normal"
"2014_15","Marymount California University","Rancho Palos Verdes","CA",NA,NA,NA,NA,NA,1086,46675,31932,31932,0.37,"Normal"
"2014_15","Menlo College","Atherton","CA",45.06,995,488,509,21,793,52454,37520,37520,0.43,"Normal"
"2014_15","Mills College","Oakland","CA",76.14,1152,585,550,26,909,56336,42918,42918,0.72,"Normal"
"2014_15","Middlebury Institute of International Studies at Monterey","Monterey","CA",NA,NA,NA,NA,NA,22,NA,NA,NA,NA,"Normal"
"2014_15","Mount Saint Mary's University","Los Angeles","CA",78.3,902,460,455,18,2659,48372,34826,34826,0.66,"Normal"
"2014_15","The National Hispanic University","San Jose","CA",NA,NA,NA,NA,NA,47,19768,8196,8196,0.31,"Normal"
"2014_15","National University","La Jolla","CA",NA,NA,NA,NA,NA,9451,26862,12384,12384,0.4,"Normal"
"2014_15","Newschool of Architecture and Design","San Diego","CA",98,NA,NA,NA,NA,360,39498,21920,21920,0.4,"Normal"
"2014_15","Notre Dame de Namur University","Belmont","CA",77.71,932,475,470,19,1177,47565,31822,31822,0.53,"Normal"
"2014_15","Occidental College","Los Angeles","CA",42.04,1300,645,655,29,2023,63363,47522,47522,0.85,"Normal"
"2014_15","Otis College of Art and Design","Los Angeles","CA",66.48,1010,495,515,22,1090,53439,40490,40490,0.63,"Normal"
"2014_15","Hope International University","Fullerton","CA",31,896,447,452,19,816,38119,27130,27130,0.49,"Normal"
"2014_15","Palo Alto University","Palo Alto","CA",NA,NA,NA,NA,NA,194,NA,NA,NA,NA,"Normal"
"2014_15","Pacific Oaks College","Pasadena","CA",NA,NA,NA,NA,NA,482,NA,NA,NA,NA,"Normal"
"2014_15","Pacific States University","Los Angeles","CA",NA,NA,NA,NA,NA,15,NA,16036,16036,0,"Normal"
"2014_15","Pacific Union College","Angwin","CA",47.44,1017,490,505,23,1583,39564,28131,28131,0.46,"Normal"
"2014_15","University of the Pacific","Stockton","CA",54.9,1185,569,607,27,3802,54032,41342,41342,0.61,"Normal"
"2014_15","Pepperdine University","Malibu","CA",35.46,1234,600,625,28,3434,61164,46692,46692,0.84,"Normal"
"2014_15","Pitzer College","Claremont","CA",13.02,NA,NA,NA,NA,1076,61416,47020,47020,0.84,"Normal"
"2014_15","Point Loma Nazarene University","San Diego","CA",69.53,1135,555,560,26,2560,44198,31406,31406,0.73,"Normal"
"2014_15","Pomona College","Claremont","CA",12.19,1454,730,730,33,1635,59730,45832,45832,0.93,"Normal"
"2014_15","Westwood College-South Bay","Torrance","CA",NA,NA,NA,NA,NA,441,29287,15852,15852,0.26,"Normal"
"2014_15","University of Redlands","Redlands","CA",73.09,1110,550,550,25,3710,57347,43186,43186,0.69,"Normal"
"2014_15","Argosy University-San Francisco Bay Area","Alameda","CA",NA,NA,NA,NA,NA,135,NA,13663,13663,0,"Normal"
"2014_15","Samuel Merritt University","Oakland","CA",NA,NA,NA,NA,NA,523,NA,NA,NA,NA,"Normal"
"2014_15","San Diego State University","San Diego","CA",34.48,1115,545,565,25,27824,20631,6866,18026,0.66,"Normal"
"2014_15","University of San Diego","San Diego","CA",46.25,1243,605,620,28,5656,57593,42908,42908,0.77,"Normal"
"2014_15","San Francisco Art Institute","San Francisco","CA",95.08,NA,NA,NA,NA,459,58010,40096,40096,0.33,"Normal"
"2014_15","San Francisco Conservatory of Music","San Francisco","CA",37.27,NA,NA,NA,NA,170,54430,40992,40992,0.5,"Normal"
