,Year,University Name,University City,University State,Most Awarded Degree,Predominantly Black,Admission Rate,SAT Average,SAT Reading Mid,SAT Math Mid,ACT Cumulative Average,Undergraduate Enrollment,Percent of Students (White),Percent of Students (Black),Percent of Students (Hispanic),Percent of Students (Asian),Average Cost per Academic Year,In State Tuition and Fees,Out of State Tuition and Fees,Completion Rate (4-year institutions
1332,2016_17,Eastern Kentucky University,Richmond,KY,Bachelor's,NO,86.33,1049.0,520.0,515.0,23.0,13127.0,84.87,5.9,2.75,0.67,19584.0,8868.0,18180.0,0.41
1335,2016_17,Georgetown College,Georgetown,KY,Bachelor's,NO,66.12,1061.0,490.0,475.0,23.0,986.0,79.92,8.42,0.1,0.81,46397.0,35650.0,35650.0,0.57
1345,2016_17,Kentucky State University,Frankfort,KY,Bachelor's,NO,49.0,907.0,443.0,405.0,19.0,1287.0,29.06,56.95,2.41,0.78,17874.0,7754.0,18056.0,0.2
1346,2016_17,Kentucky Wesleyan College,Owensboro,KY,Bachelor's,NO,57.22,992.0,505.0,500.0,21.0,686.0,72.89,16.47,1.46,1.02,33992.0,24050.0,24050.0,0.38
1347,2016_17,University of Kentucky,Lexington,KY,Bachelor's,NO,90.79,1159.0,560.0,565.0,26.0,22244.0,75.54,7.88,4.4,2.53,26143.0,11484.0,26334.0,0.64
1348,2016_17,Kentucky Christian University,Grayson,KY,Bachelor's,NO,38.8,962.0,445.0,480.0,21.0,471.0,69.21,11.04,1.7,0.21,31003.0,18560.0,18560.0,0.29
1350,2016_17,Lindsey Wilson College,Columbia,KY,Bachelor's,NO,,,,,,2038.0,66.54,9.22,1.32,0.49,36019.0,23762.0,23762.0,0.34
1352,2016_17,University of Louisville,Louisville,KY,Bachelor's,NO,72.57,1165.0,,,26.0,15033.0,74.69,11.17,4.36,3.59,24768.0,11264.0,26286.0,0.53
1356,2016_17,Midway University,Midway,KY,Bachelor's,NO,60.32,967.0,430.0,360.0,21.0,993.0,77.34,8.96,4.43,0.5,36773.0,23350.0,23350.0,0.65
1357,2016_17,Morehead State University,Morehead,KY,Bachelor's,NO,85.56,1066.0,475.0,475.0,23.0,6647.0,88.11,3.9,1.7,0.47,19454.0,8496.0,12744.0,0.45
1358,2016_17,Murray State University,Murray,KY,Bachelor's,NO,85.35,1101.0,538.0,512.0,24.0,7655.0,81.08,6.95,1.93,0.8,17948.0,8400.0,22680.0,0.49
1360,2016_17,Northern Kentucky University,Highland Heights,KY,Bachelor's,NO,91.09,1066.0,515.0,505.0,23.0,11033.0,82.12,7.32,3.26,1.12,16855.0,9384.0,18384.0,0.38
1363,2016_17,University of Pikeville,Pikeville,KY,Bachelor's,NO,100.0,927.0,450.0,445.0,20.0,1150.0,85.3,9.83,1.74,0.61,34547.0,19600.0,19600.0,0.27
