,Year,University Name,University City,University State,Most Awarded Decree,Predominantly Black,Admission Rate,SAT Average,SAT Reading Mid,SAT Math Mid,ACT Cumulative Average,Undergraduate Enrollment,Percent of Students (White),Percent of Students (Black),Percent of Students (Hispanic),Percent of Students (Asian),Average Cost per Academic Year,In State Tuition and Fees,Out of State Tuition and Fees,Completion Rate (4-year institutions
5520,2018_19,Academy for Salon Professionals,Northridge,CA,Certificate,NO,,,,,,81.0,37.04,6.17,48.15,2.47,,,,
5521,2018_19,Paul Mitchell the School-Spokane,Spokane Valley,WA,Certificate,NO,,,,,,134.0,76.12,5.22,6.72,0.0,,,,
5522,2018_19,J Renee College,Elgin,IL,Certificate,NO,,,,,,44.0,13.64,29.55,22.73,25.0,,,,
5523,2018_19,National Personal Training Institute of Colorado,Lakewood,CO,Certificate,NO,,,,,,58.0,74.14,1.72,12.07,1.72,,,,
5524,2018_19,National Personal Training Institute of Colorado,Colorado Springs,CO,Certificate,NO,,,,,,36.0,52.78,11.11,16.67,2.78,,,,
5525,2018_19,International College of Beauty Arts & Sciences,Los Angeles,CA,Certificate,NO,,,,,,64.0,96.88,0.0,1.56,0.0,,,,
5526,2018_19,The Salon Professional Academy,Shorewood,IL,Certificate,NO,,,,,,79.0,56.96,12.66,22.78,0.0,,,,
5527,2018_19,John Paul the Great Catholic University,Escondido,CA,Bachelor's,NO,77.58,1128.0,565.0,535.0,25.0,285.0,47.72,2.11,25.96,2.81,41496.0,26100.0,26100.0,0.64
5528,2018_19,University of Connecticut-Hartford Campus,Hartford,CT,Bachelor's,NO,94.86,1119.0,565.0,550.0,24.0,1396.0,42.55,15.33,17.05,18.34,16600.0,13678.0,36046.0,0.65
5529,2018_19,Ottawa University-Surprise,Surprise,AZ,Bachelor's,NO,46.63,983.0,505.0,485.0,18.0,598.0,50.33,18.56,19.57,1.84,41830.0,27630.0,27630.0,
5530,2018_19,Independence University,Salt Lake City,UT,Associate's,NO,,,,,,9779.0,24.75,14.42,4.46,0.48,32820.0,16972.0,16972.0,0.12
5531,2018_19,National American University-Tulsa,Tulsa,OK,Associate's,NO,,,,,,109.0,54.13,20.18,3.67,0.92,,15000.0,15000.0,
5532,2018_19,National American University-Centennial,Centennial,CO,Associate's,NO,,,,,,129.0,51.16,9.3,11.63,4.65,,15000.0,15000.0,0.0
5533,2018_19,National American University-Colorado Springs South,Colorado Springs,CO,Associate's,NO,,,,,,146.0,52.05,19.86,11.64,2.74,23805.0,15000.0,15000.0,0.11
5534,2018_19,Chamberlain University-Missouri,St. Louis,MO,Bachelor's,NO,100.0,,,,,535.0,73.46,13.08,3.74,1.5,30279.0,19375.0,19375.0,0.29
5535,2018_19,Chamberlain University-Texas,Houston,TX,Bachelor's,NO,64.29,,,,,823.0,22.72,34.02,21.39,14.95,37767.0,19375.0,19375.0,
5536,2018_19,Continental School of Beauty Culture-Mattydale,Mattydale,NY,Certificate,NO,,,,,,247.0,63.16,19.84,6.48,0.81,,,,
5537,2018_19,Carrington College-Ontario,Ontario,CA,Associate's,NO,,,,,,168.0,38.1,4.76,35.12,5.95,,,,
5538,2018_19,Paul Mitchell the School-Columbia,Columbia,SC,Certificate,NO,,,,,,228.0,46.93,43.86,3.07,0.44,,,,
5539,2018_19,Paul Mitchell the School-Charleston,North Charleston,SC,Certificate,NO,,,,,,199.0,60.8,27.14,7.04,0.0,,,,
5540,2018_19,Kenneth Shuler School of Cosmetology-Greenville,Greenville,SC,Certificate,NO,,,,,,161.0,78.26,16.15,1.86,0.0,,,,
5541,2018_19,South University-Novi,Novi,MI,Bachelor's,NO,,,,,,46.0,56.52,32.61,4.35,2.17,,,,0.33
5542,2018_19,Northwest College-Eugene,Springfield,OR,Certificate,NO,,,,,,207.0,76.81,2.42,8.7,0.0,,,,
5543,2018_19,Northwest College-Tualatin,Tualatin,OR,Certificate,NO,,,,,,26.0,80.77,3.85,11.54,0.0,,,,
5544,2018_19,Trend Setters' Academy of Beauty Culture-Louisville,Louisville,KY,Certificate,NO,,,,,,36.0,11.11,63.89,2.78,22.22,,,,
5545,2018_19,CET-Soledad,Soledad,CA,Certificate,NO,,,,,,84.0,1.19,1.19,97.62,0.0,,,,
5546,2018_19,United Education Institute-UEI College San Marcos,San Marcos,CA,Certificate,NO,,,,,,405.0,14.07,7.65,37.53,1.73,,,,
5547,2018_19,Vanguard College of Cosmetology-Metairie,Metairie,LA,Certificate,NO,,,,,,138.0,42.03,37.68,6.52,7.97,,,,
5548,2018_19,United Education Institute-Anaheim,Anaheim,CA,Certificate,NO,,,,,,598.0,9.36,2.17,63.38,3.34,,,,
5549,2018_19,New England Tractor Trailer Training School of Massachusetts,North Andover,MA,Certificate,NO,,,,,,455.0,34.51,16.48,42.64,2.64,,,,
5550,2018_19,Cortiva Institute-Las Vegas,Las Vegas,NV,Certificate,NO,,,,,,229.0,33.62,13.1,24.45,3.93,,,,
5551,2018_19,Cortiva Institute-Tempe,Tempe,AZ,Certificate,NO,,,,,,190.0,45.26,10.53,27.89,1.58,,,,
5552,2018_19,Cortiva Institute-Phoenix,Phoenix,AZ,Certificate,NO,,,,,,286.0,38.11,9.79,28.67,0.7,,,,
5553,2018_19,Cortiva Institute-Westminster,Westminster,CO,Certificate,NO,,,,,,104.0,36.54,3.85,25.0,1.92,,,,
5554,2018_19,Cortiva Institute-Aurora,Aurora,CO,Certificate,NO,,,,,,92.0,35.87,22.83,18.48,5.43,,,,
5555,2018_19,Dewey University-Manati,Manati,PR,Associate's,NO,,,,,,184.0,0.0,0.0,100.0,0.0,11220.0,7495.0,7495.0,0.63
5556,2018_19,Cortiva Institute-York,York,PA,Certificate,NO,,,,,,65.0,60.0,3.08,20.0,0.0,,,,
5557,2018_19,Allen School-Phoenix,Phoenix,AZ,Certificate,NO,,,,,,41.0,14.63,0.0,85.37,0.0,,,,
5558,2018_19,Oklahoma Technical College,Tulsa,OK,Certificate,NO,,,,,,132.0,64.39,9.09,4.55,0.76,,,,
5559,2018_19,Midwest Technical Institute-Moline,Moline,IL,Certificate,NO,,,,,,341.0,57.48,25.22,14.37,0.59,,,,
5560,2018_19,Unitech Training Academy-Alexandria,Alexandria,LA,Certificate,NO,,,,,,76.0,51.32,44.74,1.32,2.63,,,,
5561,2018_19,Unitech Training Academy-Lake Charles,Lake Charles,LA,Certificate,NO,,,,,,71.0,42.25,53.52,0.0,0.0,,,,
5562,2018_19,Aveda Institute-Los Angeles,Los Angeles,CA,Certificate,NO,,,,,,179.0,39.11,16.2,21.23,4.47,,,,
5563,2018_19,UEI College-Riverside,Riverside,CA,Certificate,NO,,,,,,663.0,6.33,10.11,47.06,0.45,,,,
5564,2018_19,WellSpring School of Allied Health-Lawrence,Lawrence,KS,Associate's,NO,,,,,,32.0,75.0,3.13,9.38,3.13,,,,
5565,2018_19,Manuel and Theresa's School of Hair Design-Victoria,Victoria,TX,Certificate,NO,,,,,,18.0,33.33,0.0,66.67,0.0,,,,
5566,2018_19,Tricoci University of Beauty Culture-Chicago NE,Chicago,IL,Certificate,NO,,,,,,85.0,20.0,43.53,14.12,2.35,,,,
5567,2018_19,Los Angeles Pacific University,San Dimas,CA,Bachelor's,NO,,,,,,1873.0,24.93,16.44,43.62,6.51,23533.0,10200.0,10200.0,0.17
5568,2018_19,California College San Diego-CollegeAmerica-Phoenix,Phoenix,AZ,Associate's,NO,,,,,,488.0,24.8,12.7,47.34,0.41,31346.0,16972.0,16972.0,0.38
5569,2018_19,Stevens-Henager College,Idaho Falls,ID,Associate's,NO,,,,,,85.0,62.35,1.18,25.88,0.0,31582.0,16972.0,16972.0,0.19
5570,2018_19,Avalon School of Cosmetology-Phoenix,Phoenix,AZ,Certificate,NO,,,,,,330.0,43.03,6.67,39.09,1.82,,,,
5571,2018_19,Avalon School of Cosmetology-Layton,Layton,UT,Certificate,NO,,,,,,140.0,72.86,1.43,20.0,1.43,,,,
5572,2018_19,All-State Career School-Health Sciences,Essington,PA,Certificate,NO,,,,,,313.0,18.21,71.57,5.43,0.96,23596.0,17656.0,17656.0,
5573,2018_19,Aveda Institute-Des Moines,West Des Moines,IA,Certificate,NO,,,,,,147.0,78.23,1.36,2.72,2.04,,,,
5574,2018_19,Fortis Institute-Lawrenceville,Lawrenceville,NJ,Certificate,NO,,,,,,256.0,21.88,47.66,26.17,0.78,,,,
5575,2018_19,Relay Graduate School of Education,New York,NY,Certificate,NO,,,,,,259.0,37.07,39.0,10.42,3.09,,,,
5576,2018_19,Platt College-Miller-Motte Technical-Macon,Macon,GA,Associate's,NO,,,,,,337.0,12.17,85.16,0.3,0.3,,,,
5577,2018_19,International Culinary Center-California,Campbell,CA,Certificate,NO,,,,,,92.0,41.3,2.17,25.0,21.74,,,,
5578,2018_19,South University-Savannah Online,Savannah,GA,Bachelor's,NO,,,,,,3555.0,39.77,43.46,11.11,0.82,28180.0,13354.0,13354.0,0.04
5579,2018_19,Fortis College-Montgomery,Montgomery,AL,Associate's,NO,,,,,,106.0,12.26,83.02,0.94,0.0,27411.0,14628.0,14628.0,
5580,2018_19,Whitworth University-Adult Degree Programs,Spokane,WA,Bachelor's,NO,100.0,,,,,294.0,80.95,3.06,7.14,1.36,,,,
5581,2018_19,The Santa Barbara and Ventura Colleges of Law at Santa Barbara,Santa Barbara,CA,Graduate,NO,,,,,,,,,,,,,,
5582,2018_19,Springfield College-Regional Online and Continuing Education,Springfield,MA,Bachelor's,NO,,,,,,643.0,20.37,48.68,24.42,0.47,,,,
5583,2018_19,Marian Health Careers Center-Van Nuys Campus,Van Nuys,CA,Certificate,NO,,,,,,159.0,14.47,6.29,32.7,38.99,,,,
5584,2018_19,Milan Institute-Las Vegas,Las Vegas,NV,Certificate,NO,,,,,,267.0,17.23,37.45,32.21,7.87,,,,
5585,2018_19,Catholic Distance University,Charles Town,WV,Bachelor's,NO,,,,,,71.0,57.75,0.0,15.49,4.23,,10175.0,10175.0,
5586,2018_19,New York School of Esthetics & Day Spa,white plains,NY,Certificate,NO,,,,,,117.0,31.62,13.68,35.9,1.71,,,,
5587,2018_19,Panache Academy of Beauty,Baraboo,WI,Certificate,NO,,,,,,59.0,81.36,3.39,8.47,0.0,,,,
5588,2018_19,Finger Lakes Health College of Nursing & Health Sciences,Geneva,NY,Associate's,NO,100.0,965.0,445.0,520.0,,130.0,66.92,25.38,5.38,1.54,17617.0,11585.0,11585.0,
5589,2018_19,ASI Career Institute,Turnersville,NJ,Certificate,NO,,,,,,57.0,54.39,38.6,7.02,0.0,,,,
5590,2018_19,Midwest Technical Institute-Ridgeland,Ridgeland,MS,Certificate,NO,,,,,,582.0,12.37,83.51,3.78,0.34,,,,
5591,2018_19,Christine Valmy International School of Esthetics & Cosmetology,Pine Brook,NJ,Certificate,NO,,,,,,116.0,47.41,8.62,36.21,2.59,,,,
5592,2018_19,City College-Hollywood,Hollywood,FL,Associate's,NO,,,,,,243.0,34.98,33.33,23.46,0.41,24711.0,14539.0,14539.0,
5593,2018_19,Paul Mitchell the School-Arlington,Arlington,TX,Certificate,NO,,,,,,328.0,36.89,24.7,29.88,0.61,,,,
5594,2018_19,Rocky Mountain University of Health Professions,Provo,UT,Graduate,NO,,,,,,,,,,,,,,
5595,2018_19,Christie's Education,New York,NY,Graduate,NO,,,,,,,,,,,,,,
5596,2018_19,Palmetto Beauty School,Spartanburg,SC,Certificate,NO,,,,,,27.0,18.52,77.78,0.0,0.0,,,,
5597,2018_19,Paul Mitchell the School-Fort Myers,Fort Myers,FL,Certificate,NO,,,,,,128.0,32.03,6.25,14.84,0.0,,,,
5598,2018_19,Paul Mitchell the School-Raleigh,Raleigh,NC,Certificate,NO,,,,,,155.0,50.32,40.65,5.81,1.29,,,,
5599,2018_19,CUNY Stella and Charles Guttman Community College,New York,NY,Associate's,NO,,,,,,941.0,6.16,24.02,60.04,4.25,13494.0,5194.0,8074.0,
5600,2018_19,Lil Lou's Beauty and Barber College,Gary,IN,Certificate,NO,,,,,,72.0,1.39,90.28,6.94,0.0,,,,
5601,2018_19,Criswell College,Dallas,TX,Bachelor's,NO,100.0,1001.0,522.0,464.0,19.0,178.0,53.37,16.85,16.29,1.12,19927.0,10710.0,10710.0,0.15
5602,2018_19,Beverly Hills Design Institute,Beverly Hills,CA,Bachelor's,NO,22.22,,,,,9.0,33.33,33.33,11.11,0.0,,23220.0,23220.0,0.38
5603,2018_19,Reflections Academy of Beauty,Decatur,IL,Certificate,NO,,,,,,26.0,34.62,61.54,0.0,0.0,,,,
5604,2018_19,UCAS Univeristy of Cosmetology Arts & Sciences-La Joya,La Joya,TX,Certificate,NO,,,,,,60.0,0.0,0.0,98.33,0.0,,,,
5605,2018_19,Bryant & Stratton College-Akron,Copley,OH,Associate's,NO,,,,,,123.0,60.98,26.02,1.63,0.81,23548.0,18756.0,18756.0,0.21
5606,2018_19,Annenberg School of Nursing,Reseda,CA,Certificate,NO,,,,,,11.0,18.18,9.09,36.36,36.36,,,,
5607,2018_19,American Medical Academy,Miami,FL,Certificate,NO,,,,,,461.0,8.89,5.64,82.43,0.0,,,,
5608,2018_19,Tooele Technical College,Tooele,UT,Certificate,NO,,,,,,341.0,76.25,0.59,11.44,2.05,,,,
5609,2018_19,Chamberlain University-Georgia,Atlanta,GA,Bachelor's,NO,71.43,,,,,1068.0,28.09,48.78,7.3,6.74,,19375.0,19375.0,0.0
5610,2018_19,Chamberlain University-Indiana,Indianapolis,IN,Bachelor's,NO,50.0,,,,,210.0,59.52,28.1,5.24,3.33,26535.0,19375.0,19375.0,0.0
5611,2018_19,Carrington College-Mesquite,Mesquite,TX,Associate's,NO,,,,,,40.0,27.5,60.0,0.0,10.0,,,,
5612,2018_19,Sessions College for Professional Design,Tempe,AZ,Certificate,NO,,,,,,153.0,57.52,17.65,9.15,3.27,14399.0,8700.0,8700.0,
5613,2018_19,Tulsa Welding School-Jacksonville,Jacksonville,FL,Certificate,NO,,,,,,178.0,37.08,39.89,7.87,3.37,,,,
5614,2018_19,Empire Beauty School-Virginia Beach,Virginia Beach,VA,Certificate,NO,,,,,,115.0,18.26,61.74,3.48,0.0,,,,
5615,2018_19,Ross Medical Education Center-Morgantown,Morgantown,WV,Certificate,NO,,,,,,50.0,80.0,12.0,2.0,0.0,,,,
5616,2018_19,Paul Mitchell the School-Ogden,Ogden,UT,Certificate,NO,,,,,,130.0,72.31,5.38,19.23,0.77,,,,
5617,2018_19,Cortiva Institute-Dallas,Richardson,TX,Certificate,NO,,,,,,210.0,21.43,34.29,28.1,5.71,,,,
5618,2018_19,Miami Ad School-New York,Astoria,NY,Certificate,NO,,,,,,91.0,56.04,5.49,2.2,7.69,,19400.0,19400.0,
5619,2018_19,Larry's Barber College,Chicago,IL,Certificate,NO,,,,,,143.0,0.0,97.9,0.7,0.0,,,,
5620,2018_19,Futura Career Institute,Hialeah,FL,Certificate,NO,,,,,,145.0,1.38,0.0,98.62,0.0,,,,
5621,2018_19,Flair Beauty College,Valencia,CA,Certificate,NO,,,,,,53.0,49.06,1.89,35.85,1.89,,,,
5622,2018_19,Vogue College of Cosmetology-San Antonio Fredericksburg,San Antonio,TX,Certificate,NO,,,,,,150.0,18.67,11.33,58.0,0.67,,,,
5623,2018_19,Vogue College of Cosmetology,San Antonio,TX,Certificate,NO,,,,,,100.0,7.0,9.0,70.0,0.0,,,,
5624,2018_19,Tomorrow's Image Barber And Beauty Academy of Virginia,Newport News,VA,Certificate,NO,,,,,,14.0,0.0,100.0,0.0,0.0,,,,
5625,2018_19,College of International Esthetics Inc,Arvada,CO,Certificate,NO,,,,,,119.0,53.78,2.52,27.73,3.36,,,,
5626,2018_19,Medical Allied Career Center,Santa Fe Springs,CA,Certificate,NO,,,,,,78.0,2.56,6.41,73.08,17.95,,,,
5627,2018_19,Bais HaMedrash and Mesivta of Baltimore,Baltimore,MD,Bachelor's,NO,100.0,,,,,80.0,91.25,0.0,8.75,0.0,21800.0,13000.0,13000.0,0.41
5628,2018_19,Barber & Beauty Institute of New York,Hempstead,NY,Certificate,NO,,,,,,58.0,6.9,72.41,20.69,0.0,,,,
5629,2018_19,Salon Institute-Toledo Campus,Toledo,OH,Certificate,NO,,,,,,97.0,91.75,4.12,4.12,0.0,,,,
5630,2018_19,Curve Metric School of Hair Design,Elmwood Park,IL,Certificate,NO,,,,,,36.0,8.33,0.0,83.33,0.0,,,,
5631,2018_19,Athena Career Academy,Toledo,OH,Certificate,NO,39.27,,,,,283.0,18.73,70.67,3.89,2.12,,,,
5632,2018_19,Yeshiva Gedolah Zichron Leyma,Union,NJ,Bachelor's,NO,100.0,,,,,23.0,95.65,0.0,0.0,0.0,15070.0,10750.0,10750.0,0.0
5633,2018_19,The Barber School,Midvale,UT,Certificate,NO,,,,,,149.0,37.58,10.07,28.86,2.01,,,,
5634,2018_19,Be'er Yaakov Talmudic Seminary,Spring Valley,NY,Bachelor's,NO,,,,,,569.0,99.82,0.0,0.0,0.0,15869.0,10220.0,10220.0,0.54
5635,2018_19,Rio Grande Valley College,Pharr,TX,Certificate,NO,,,,,,626.0,0.48,0.16,98.4,0.8,,,,
5636,2018_19,Alexander Academy,Lunenburg,MA,Certificate,NO,,,,,,61.0,22.95,8.2,59.02,1.64,,,,
5637,2018_19,Aveda Institute-Tucson,Tucson,AZ,Certificate,NO,,,,,,157.0,40.76,0.64,45.22,1.27,,,,
5638,2018_19,Ambiance Beauty & Barber Academy Inc,Melbourne,FL,Certificate,NO,,,,,,26.0,19.23,53.85,19.23,0.0,,,,
5639,2018_19,Diamond Beauty College,South El Monte,CA,Certificate,NO,,,,,,190.0,0.0,0.0,3.16,87.89,,,,
5640,2018_19,Unitek College,South San Francisco,CA,Certificate,NO,,,,,,175.0,0.0,0.0,9.14,9.71,,,,
5641,2018_19,University Academy of Hair Design,Tuscaloosa,AL,Certificate,NO,,,,,,28.0,85.71,14.29,0.0,0.0,,,,
5642,2018_19,Florida Institute of Recording Sound and Technology,Orlando,FL,Certificate,NO,,,,,,344.0,27.03,34.88,29.94,1.16,,,,
5643,2018_19,New Dimensions Beauty Academy Inc,Parker,CO,Certificate,NO,,,,,,69.0,65.22,1.45,20.29,2.9,,,,
5644,2018_19,Paul Mitchell the School-Reno,Reno,NV,Certificate,NO,,,,,,180.0,62.78,5.0,28.33,0.0,,,,
5645,2018_19,Boise Barber College,Boise,ID,Certificate,NO,,,,,,66.0,31.82,6.06,46.97,0.0,,,,
5646,2018_19,Austin Kade Academy,Idaho Falls,ID,Certificate,NO,,,,,,102.0,77.45,2.94,17.65,0.0,,,,
5647,2018_19,Aesthetic Science Institute,Latham,NY,Certificate,NO,,,,,,54.0,94.44,1.85,0.0,3.7,,,,
5648,2018_19,Elaine Sterling Institute,Atlanta,GA,Certificate,NO,89.1,,,,,134.0,38.81,39.55,6.72,6.72,,,,
5649,2018_19,Wade Gordon Hairdressing Academy,Amarillo,TX,Certificate,NO,,,,,,86.0,43.02,1.16,50.0,2.33,,,,
5650,2018_19,Mitsu Sato Hair Academy,Overland Park,KS,Certificate,NO,,,,,,32.0,53.13,9.38,18.75,0.0,,,,
5651,2018_19,SAE Institute of Technology-Los Angeles,Los Angeles,CA,Certificate,NO,,,,,,121.0,18.18,22.31,19.01,9.92,,,,
5652,2018_19,Florida Vocational Institute,Miami,FL,Certificate,NO,,,,,,467.0,1.28,7.49,88.65,0.0,,,,
5653,2018_19,SAE Institute of Technology-Atlanta,Atlanta,GA,Associate's,NO,,,,,,726.0,7.99,81.27,6.2,1.1,,,,
5654,2018_19,Academy di Firenze,Jerome,ID,Certificate,NO,,,,,,14.0,71.43,0.0,28.57,0.0,,,,
5655,2018_19,SAE Institute of Technology-Miami,North Miami Beach,FL,Certificate,NO,,,,,,111.0,3.6,35.14,49.55,0.9,,,,
5656,2018_19,Colorado State University-Global Campus,Aurora,CO,Bachelor's,NO,,,,,,7671.0,64.82,7.01,13.91,4.07,,,,
5657,2018_19,Paul Mitchell the School-Overland Park,Overland Park,KS,Certificate,NO,,,,,,188.0,44.68,17.02,3.19,0.53,,,,
5658,2018_19,Medspa Academies,South Jordan,UT,Certificate,NO,,,,,,210.0,79.52,0.0,12.86,2.86,,,,
5659,2018_19,Brighton Institute of Cosmetology,Brighton,MI,Certificate,NO,,,,,,43.0,93.02,0.0,0.0,0.0,,,,
5660,2018_19,West Coast University-Dallas,Dallas,TX,Bachelor's,NO,100.0,,,,,792.0,24.12,31.57,19.82,17.3,,26635.0,26635.0,0.0
5661,2018_19,Stevens-Henager College,St. George,UT,Associate's,NO,,,,,,93.0,68.82,2.15,18.28,0.0,32666.0,16972.0,16972.0,0.24
5662,2018_19,National American University-Bellevue,Bellevue,NE,Associate's,NO,,,,,,68.0,66.18,14.71,10.29,1.47,,15000.0,15000.0,0.0
5663,2018_19,National American University-Mesquite,Mesquite,TX,Associate's,NO,,,,,,180.0,28.89,55.0,8.33,1.11,20214.0,15000.0,15000.0,
5664,2018_19,Empire Beauty School-Savannah,Savannah,GA,Certificate,NO,,,,,,100.0,16.0,60.0,3.0,0.0,,,,
5665,2018_19,Ogle School Hair Skin Nails-Denton,Denton,TX,Certificate,NO,,,,,,139.0,52.52,17.27,23.02,0.72,,,,
5666,2018_19,Empire Beauty School-West Greensboro,Greensboro,NC,Certificate,NO,,,,,,79.0,6.33,70.89,11.39,1.27,,,,
5667,2018_19,California College San Diego,San Marcos,CA,Associate's,NO,,,,,,300.0,26.67,9.67,47.0,6.67,32976.0,16972.0,16972.0,
5668,2018_19,Jolie Hair and Beauty Academy-Northfield,Northfield,NJ,Certificate,NO,,,,,,129.0,34.88,27.13,31.01,1.55,,,,
5669,2018_19,Hays Academy of Hair Design,Salina,KS,Certificate,NO,,,,,,56.0,80.36,1.79,5.36,0.0,,,,
5670,2018_19,Bellus Academy,Manhattan,KS,Certificate,NO,,,,,,171.0,73.68,9.36,7.6,3.51,,,,
5671,2018_19,Cortiva Institute-Seattle,Federal Way,WA,Certificate,NO,,,,,,108.0,50.93,14.81,5.56,3.7,,,,
5672,2018_19,MotoRing Technical Training Institute,East Providence,RI,Certificate,NO,100.0,,,,,59.0,62.71,13.56,6.78,1.69,,,,
5673,2018_19,Columbia College,Centreville,VA,Certificate,NO,,,,,,144.0,20.83,6.94,19.44,34.03,,,,
5674,2018_19,Unitek College,Hayward,CA,Certificate,NO,,,,,,273.0,4.76,10.26,16.48,23.44,,,,
5675,2018_19,Pennsylvania State University-World Campus,University Park,PA,Bachelor's,NO,54.26,1139.0,570.0,555.0,24.0,8102.0,67.86,7.05,10.85,4.27,27667.0,13988.0,13988.0,0.29
5676,2018_19,Medical Career Institute,Ocean,NJ,Certificate,NO,,,,,,122.0,66.39,27.87,4.1,1.64,,,,
5677,2018_19,Advance Beauty Techs Academy,San Jacinto,CA,Certificate,NO,,,,,,73.0,5.48,23.29,67.12,1.37,,,,
5678,2018_19,Elevate Salon Institute-Westminster,Westminster,CO,Certificate,NO,,,,,,67.0,61.19,0.0,26.87,2.99,,,,
5679,2018_19,Brand College,Glendale,CA,Certificate,NO,,,,,,19.0,36.84,26.32,10.53,10.53,,,,
5680,2018_19,Hinton Barber and Beauty College,Vallejo,CA,Certificate,NO,,,,,,43.0,16.28,39.53,32.56,4.65,,,,
5681,2018_19,Advanced Career Institute,Visalia,CA,Certificate,NO,,,,,,464.0,32.11,5.82,57.76,1.94,,,,
5682,2018_19,Digital Film Academy,New York,NY,Certificate,NO,,,,,,167.0,25.15,37.72,18.56,8.38,,,,
5683,2018_19,MyComputerCareer.edu-Raleigh,Raleigh,NC,Certificate,NO,,,,,,1809.0,39.64,38.86,11.0,2.1,,,,
5684,2018_19,Purdue University Global-Augusta,Augusta,ME,Bachelor's,NO,,,,,,413.0,82.08,0.0,1.21,0.48,20624.0,14343.0,14343.0,0.24
5685,2018_19,South University-Austin,Round Rock,TX,Bachelor's,NO,,,,,,302.0,33.77,24.17,32.78,4.64,29564.0,17014.0,17014.0,0.18
5686,2018_19,South University-Cleveland,Warrensville Heights,OH,Bachelor's,NO,,,,,,72.0,36.11,43.06,11.11,2.78,,,,0.11
5687,2018_19,Bryant & Stratton College-Online,Orchard Park,NY,Associate's,NO,,,,,,4436.0,49.28,37.67,6.51,0.52,19609.0,14618.0,14618.0,0.27
5688,2018_19,Ogle School Hair Skin Nails-San Antonio,San Antonio,TX,Certificate,NO,,,,,,283.0,11.31,15.19,54.77,1.77,,,,
5689,2018_19,Elizabethtown College School of Continuing and Professional Studies,Elizabethtown,PA,Bachelor's,NO,100.0,,,,,246.0,82.52,7.72,7.32,1.22,,,,
5690,2018_19,Ideal Beauty Academy,Louisville,KY,Certificate,NO,,,,,,16.0,37.5,56.25,6.25,0.0,,,,
5691,2018_19,Minnesota School of Cosmetology-Plymouth Campus,Plymouth,MN,Certificate,NO,,,,,,93.0,54.84,15.05,15.05,7.53,,,,
5692,2018_19,Mercyhurst University-North East Campus,North East,PA,Associate's,NO,,,,,,595.0,67.06,18.82,4.54,1.34,28085.0,19120.0,19120.0,
5693,2018_19,Warner Pacific University Professional and Graduate Studies,Portland,OR,Bachelor's,NO,,,,,,321.0,53.89,14.64,13.08,4.05,25296.0,6000.0,6000.0,0.56
5694,2018_19,Platt College-Riverside,Riverside,CA,Associate's,NO,,,,,,484.0,17.98,9.3,62.6,1.45,30153.0,13794.0,13794.0,0.72
5695,2018_19,Empire Beauty School-Glen Burnie,Glen Burnie,MD,Certificate,NO,,,,,,100.0,19.0,79.0,0.0,1.0,,,,
5696,2018_19,International School of Cosmetology,Scottsdale,AZ,Certificate,NO,,,,,,74.0,68.92,5.41,18.92,0.0,,,,
5697,2018_19,United Education Institute-UEI College Stockton,Stockton,CA,Certificate,NO,,,,,,569.0,7.73,15.99,39.19,3.69,,,,
5698,2018_19,Shiloh University,Kalona,IA,Associate's,NO,33.33,,,,,14.0,78.57,7.14,7.14,7.14,,4800.0,4800.0,
5699,2018_19,Ross Medical Education Center-Dayton,Dayton,OH,Certificate,NO,,,,,,85.0,58.82,28.24,4.71,0.0,,,,
5700,2018_19,Ross Medical Education Center-Ontario,Ontario,OH,Certificate,NO,,,,,,76.0,72.37,9.21,6.58,0.0,,,,
5701,2018_19,Ross Medical Education Center-Bowling Green,Bowling Green,KY,Certificate,NO,,,,,,91.0,78.02,9.89,3.3,2.2,,,,
5702,2018_19,Florida Institute of Technology-Online,Melbourne,FL,Bachelor's,NO,,,,,,1460.0,55.68,20.14,13.97,1.3,,,,
5703,2018_19,Rasmussen University-Kansas,Topeka,KS,Associate's,NO,,,,,,553.0,55.7,13.74,8.14,1.99,22183.0,10935.0,10935.0,
5704,2018_19,Columbia Institute,Silver Spring,MD,Certificate,NO,,,,,,107.0,27.1,4.67,14.02,38.32,,,,
5705,2018_19,School of Missionary Aviation Technology,Ionia,MI,Certificate,NO,,,,,,20.0,95.0,0.0,0.0,0.0,,,,
5706,2018_19,Ace Cosmetology and Barber Training Center,Waterbury,CT,Certificate,NO,,,,,,89.0,15.73,51.69,31.46,0.0,,,,
5707,2018_19,California Miramar University,San Diego,CA,Bachelor's,NO,21.95,,,,,68.0,14.71,25.0,29.41,1.47,14881.0,8977.0,8977.0,
5708,2018_19,Rocky Vista University,Parker,CO,Graduate,NO,,,,,,,,,,,,,,
5709,2018_19,The College of Health Care Professions-Dallas,Dallas,TX,Certificate,NO,,,,,,85.0,5.88,56.47,30.59,0.0,,,,
5710,2018_19,The College of Health Care Professions-Fort Worth,Fort Worth,TX,Certificate,NO,,,,,,509.0,33.99,16.11,42.44,3.14,,,,
5711,2018_19,Shear Finesse Beauty Academy,Jacksonville,FL,Certificate,NO,,,,,,15.0,0.0,100.0,0.0,0.0,,,,
5712,2018_19,Miami Media School,Doral,FL,Certificate,NO,,,,,,92.0,6.52,32.61,59.78,1.09,,,,
