"Color","University.Name","Completion.Rate..4.year.institutions","Undergraduate.Enrollment","Average.Cost.per.Academic.Year","Year"
"Normal","Herzing University-Atlanta",38,716,29515,"2019_20"
"Normal","Mercer University",66,4806,51923,"2019_20"
"Normal","Morehouse College",54,2238,48406,"2019_20"
"Normal","Oglethorpe University",48,1350,53219,"2019_20"
"Normal","Paine College",13,442,26657,"2019_20"
"Normal","Piedmont University",45,1232,39881,"2019_20"
"Normal","Reinhardt University",38,1384,38567,"2019_20"
"Normal","Savannah College of Art and Design",70,11992,56930,"2019_20"
"Normal","Savannah State University",29,3355,16833,"2019_20"
"Normal","Shorter University",37,1202,34208,"2019_20"
"Normal","Spelman College",75,2118,52826,"2019_20"
"Normal","Thomas University",47,875,27806,"2019_20"
"Normal","Toccoa Falls College",46,860,36771,"2019_20"
"Normal","Truett McConnell University",40,792,32004,"2019_20"
"Normal","Valdosta State University",40,8348,20972,"2019_20"
"Normal","Wesleyan College",50,584,33844,"2019_20"
"Normal","University of West Georgia",45,9742,22875,"2019_20"
"Normal","Young Harris College",42,908,42914,"2019_20"
"Normal","Chaminade University of Honolulu",59,1558,36765,"2019_20"
"Normal","University of Hawaii at Hilo",44,2646,21400,"2019_20"
"Normal","University of Hawaii at Manoa",61,12255,23636,"2019_20"
"Normal","Hawaii Pacific University",45,2765,42786,"2019_20"
"Normal","University of Hawaii-West Oahu",28,2636,18199,"2019_20"
"Normal","Boise Bible College",49,94,27170,"2019_20"
"Normal","Boise State University",51,16896,20745,"2019_20"
"Normal","Idaho State University",36,7267,20022,"2019_20"
"Normal","University of Idaho",56,7227,21126,"2019_20"
"Normal","The College of Idaho",66,1072,43349,"2019_20"
"Normal","Lewis-Clark State College",38,2677,16389,"2019_20"
"Normal","Northwest Nazarene University",61,1195,40315,"2019_20"
"Normal","Brigham Young University-Idaho",60,38672,11968,"2019_20"
"Normal","American Academy of Art",53,205,40537,"2019_20"
"Normal","School of the Art Institute of Chicago",70,2983,67058,"2019_20"
"Normal","Augustana College",71,2532,54058,"2019_20"
"Normal","Aurora University",54,4003,34961,"2019_20"
"Normal","Blackburn College",41,480,30921,"2019_20"
"Normal","Bradley University",77,4625,47305,"2019_20"
"Normal","Chicago State University",17,2045,20999,"2019_20"
"Normal","University of Chicago",95,6801,78555,"2019_20"
"Normal","Columbia College Chicago",50,6596,43764,"2019_20"
"Normal","Concordia University-Chicago",47,1501,41255,"2019_20"
"Normal","DePaul University",74,14009,55832,"2019_20"
"Normal","East-West University",11,447,28350,"2019_20"
"Normal","Eastern Illinois University",53,4577,23922,"2019_20"
"Normal","Elmhurst University",70,2807,47597,"2019_20"
"Normal","Eureka College",50,497,36062,"2019_20"
"Normal","Greenville University",56,876,39861,"2019_20"
"Normal","Hebrew Theological College",4,107,26004,"2019_20"
"Normal","University of Illinois Chicago",61,21311,25527,"2019_20"
"Normal","Benedictine University",46,2461,46873,"2019_20"
"Normal","University of Illinois Urbana-Champaign",85,33080,30102,"2019_20"
"Normal","Illinois Wesleyan University",77,1619,60826,"2019_20"
"Normal","Illinois College",63,1044,43511,"2019_20"
"Normal","Illinois Institute of Technology",70,3032,63212,"2019_20"
"Normal","Illinois State University",70,18199,29758,"2019_20"
"Normal","Judson University",58,1026,40798,"2019_20"
"Normal","Knox College",74,1229,58289,"2019_20"
"Normal","Lake Forest College",77,1527,60505,"2019_20"
"Normal","Lewis University",67,4125,41938,"2019_20"
"Normal","Lincoln Christian University",58,357,26311,"2019_20"
"Normal","Lincoln College",34,1034,34934,"2019_20"
"Normal","Loyola University Chicago",74,12104,59194,"2019_20"
"Normal","MacMurray College",47,588,37332,"2019_20"
"Normal","McKendree University",60,1764,42941,"2019_20"
"Normal","Methodist College",29,675,37283,"2019_20"
"Normal","Millikin University",59,1929,48766,"2019_20"
"Normal","Monmouth College",62,900,49178,"2019_20"
"Normal","Moody Bible Institute",67,2225,26844,"2019_20"
"Normal","National Louis University",22,3279,23294,"2019_20"
"Normal","North Central College",69,2578,51483,"2019_20"
"Normal","North Park University",62,1906,38189,"2019_20"
"Normal","Northern Illinois University",49,12107,28722,"2019_20"
"Normal","Northwestern University",94,8530,74630,"2019_20"
"Normal","Northeastern Illinois University",21,5626,23811,"2019_20"
"Normal","Olivet Nazarene University",64,3079,47290,"2019_20"
